19.100000381469718.19491004943000000000 2005-09-2721.04999923719.2999992
33.400001525878931.67611122131000000000 2005-11-1633.50999832133.5999984
33.229999542236332.35489654541000000001 2005-11-1733.40000152534.3199996
32.860000610351531.15759658813000000000 2005-11-1834.34999847433.0499992
31.260000228881830.15830230712000000000 2005-11-21000000032.7531.9899997
31.600000381469730.63909721374000000000 2005-11-2231.98999977100000032.5
32.159999847412131.14818382263000000000 2005-11-2332.20000076233.0400009
32.720001220703130.96905326843000000000 2005-11-2533.00999832132.8499984
000000000000003331.49699783325000000000 2005-11-2833.04999923733.4099998
32.630001068115231.01619338989000000000 2005-11-2933.29999923732.9000015
32.900001525878931.66668128967000000000 2005-11-3032.90000152533.5900001
000000000000003432.31716918945000000000 2005-12-0100000000003434.2799987
0000000000034.2532.31716918945000000000 2005-12-0234.40000152534.2799987
31.379999160766630.49768447875000000001 2005-12-0532.08000183132.3499984
32.040000915527331.69496536254000000000 2005-12-0632.04000091533.6199989
33.299999237060532.00608444213000000000 2005-12-0733.40000152533.9500007
33.529998779296831.73267173767000000000 2005-12-0833.95000076233.6599998
33.349998474121031.94007110595000000000 2005-12-0933.40999984733.8800010
33.709999084472631.82694625854000000000 2005-12-1233.79999923733.7599983
33.049999237060531.34614944458000000000 2005-12-1333.7599983210000033.25
0000000000033.2531.61955833435000000000 2005-12-1433.40000152533.5400009
33.349998474121031.70439338684000000000 2005-12-1533.63999938933.6300010
33.680000305175733.13736343383000000001 2005-12-1633.68000030535.1500015
34.889999389648433.23163986206000000000 2005-12-1935.1800003050000035.25
34.020000457763633.29762649536000000000 2005-12-20000000035.2535.3199996
35.330001831054634.41949081420000000000 2005-12-2135.38000106836.5099983
36.349998474121034.72117614746000000000 2005-12-2236.59999847436.8300018
36.729999542236335.56963729858000000000 2005-12-2336.72999954237.7299995
37.200000762939435.31509017944000000000 2005-12-2737.99000167837.4599990
36.349998474121035.30567169189000000000 2005-12-2800000000003837.4500007
37.189998626708935.23967742919000000000 2005-12-2937.45000076237.3800010
36.919998168945335.01342010498000000000 2005-12-3037.54999923737.1399993
36.849998474121035.30567169189000000001 2006-01-0337.20000076237.4500007
37.700000762939436.95545959472000000001 2006-01-0437.70000076239.2000007
38.909999847412137.43626403808000000000 2006-01-0539.18000030539.7099990
38.139999389648436.76691055297000000000 2006-01-0639.7099990840000000039
00000000000038.536.39924621582000000000 2006-01-0938.79999923738.6100006
37.400001525878935.63562393188000000000 2006-01-1038.61000061037.7999992
34.650001525878932.80741119384000000000 2006-01-1137.79999923734.7999992
32.959999084472632.98653411865000000002 2006-01-1200000000003334.9900016
33.310001373291032.10034942626000000000 2006-01-1300000000003534.0499992
29.620000839233428.28224563598000000002 2006-01-1733.5499992370000000030
28.879999160766629.22498703002000000001 2006-01-1829.1000003810000000031
29.340000152587828.64991569519000000000 2006-01-1930.79999923730.3899993
28.600000381469727.56575965881000000000 2006-01-2030.28000068629.2399997
29.149999618530227.73545265197000000000 2006-01-2329.48999977129.4200000
0000000000029.7529.24384307861000000000 2006-01-2429.89999961831.0200004
0000000000030.7529.22498703002000000000 2006-01-2531.1499996180000000031
000000000000003028.51792526245000000000 2006-01-2631.0499992370000030.25
28.299999237060527.23580360412000000000 2006-01-2730.20000076228.8899993
28.729999542236327.33950042724000000000 2006-01-3028.7299995420000000029
29.010000228881827.66003227233000000000 2006-01-3129.17000007629.3400001
28.350000381469727.69774627685000000000 2006-02-0129.10000038129.3799991
000000000000002928.29167175292000000000 2006-02-0229.37999916030.0100002
29.200000762939427.85800743103000000000 2006-02-0330.01000022829.5499992
28.659999847412127.59404182434000000000 2006-02-0629.20000076229.2700004
28.620000839233427.33950042724000000000 2006-02-0729.3500003810000000029
29.010000228881828.27282524108000000000 2006-02-0829.10000038129.9899997
29.549999237060528.61220359802000000000 2006-02-0929.95000076230.3500003
29.739999771118128.28224563598000000000 2006-02-100000000030.50000000030
30.549999237060529.38524818420000000000 2006-02-1331.04999923731.1700000
31.409999847412130.92191696166000000000 2006-02-140000000031.532.7999992
32.349998474121031.81751823425000000000 2006-02-1532.5499992370000033.75
33.200000762939431.46871376037000000000 2006-02-1633.65999984733.3800010
32.330001831054631.25188636779000000000 2006-02-1732.79999923733.1500015
31.299999237060530.63909721374000000000 2006-02-210000000032.500000032.5
33.299999237060531.71381759643000000000 2006-02-2233.52999877933.6399993
34.069999694824232.66599273681000000000 2006-02-2334.20000076234.6500015
33.180000305175731.60068321228000000000 2006-02-2433.97000122033.5200004
33.099998474121031.44043350219000000000 2006-02-2733.90000152533.3499984
32.599998474121031.19531631469000000000 2006-02-2833.29999923733.0900001
32.599998474121030.92191696166000000001 2006-03-0133.09000015232.7999992
32.599998474121031.01619338989000000000 2006-03-0232.79999923732.9000015
31.319999694824230.04517364501000000000 2006-03-0332.65000152531.8700008
31.379999160766629.98860931396000000000 2006-03-0631.89999961831.8099994
000000000000003230.55425071716000000000 2006-03-0732.09999847432.4099998
32.099998474121031.54412841796000000000 2006-03-0832.40999984733.4599990
32.599998474121030.96905326843000000000 2006-03-0933.40000152532.8499984
32.930000305175731.35558700561000000001 2006-03-1032.95000076233.2599983
32.779998779296831.15759658813000000000 2006-03-13000000033.2533.0499992
33.099998474121032.14748001098000000000 2006-03-1433.09999847434.0999984
34.200000762939433.06194305419000000001 2006-03-1534.27999877935.0699996
34.799999237060533.15621566772000000000 2006-03-1635.20000076235.1699981
34.849998474121033.40133285522000000000 2006-03-1735.15000152535.4300003
35.430000305175734.83430480957000000000 2006-03-2035.45000076236.9500007
36.630001068115234.86257171630000000001 2006-03-2137.95000076236.9799995
37.069999694824237.33256149291000000002 2006-03-2237.06999969439.5999984
38.520000457763636.87062454223000000002 2006-03-2339.61000061039.1100006
38.560001373291036.49351501464000000000 2006-03-2439.20000076238.7099990
39.069999694824236.92717742919000000001 2006-03-2739.09999847439.1699981
37.430000305175735.41879272460000000001 2006-03-2839.18000030537.5699996
36.709999084472600035.55078125000000000 2006-03-2937.56999969437.7099990
37.200000762939435.34337997436000000000 2006-03-3037.95000076237.4900016
37.599998474121037.70965576171000000002 2006-03-3137.7000007620000000040
39.240001678466837.33256149291000000001 2006-04-0300000000004039.5999984
39.299999237060537.21943664550000000000 2006-04-0400000000004039.4799995
38.970001220703137.21943664550000000000 2006-04-050000000039.539.4799995
39.099998474121037.85106658935000000001 2006-04-0639.59999847440.1500015
39.450000762939437.37969970703000000001 2006-04-0740.29999923739.6500015
37.349998474121035.74875259399000000001 2006-04-1039.65000152537.9199981
000000000000003735.35280990600000000001 2006-04-1137.95000076200000037.5
36.759998321533235.35280990600000000001 2006-04-120000000037.500000037.5
37.380001068115236.41809844970000000001 2006-04-1337.43999862638.6300010
36.529998779296834.78715515136000000002 2006-04-1738.40000152536.9000015
36.840000152587834.92856979370000000001 2006-04-1837.09999847437.0499992
37.200000762939436.23897552490000000002 2006-04-1937.29999923738.4399986
37.900001525878935.82417297363000000001 2006-04-2038.6500015250000000038
36.189998626708935.56963729858000000001 2006-04-2138.27000045737.7299995
39.040000915527339.50086593627000000003 2006-04-24000000039.2541.9000015
000000000000004140.28334426879000000002 2006-04-2500000000004242.7299995
41.569999694824240.52846527099000000001 2006-04-2642.40000152542.9900016
42.560001373291041.76345062255000000001 2006-04-2742.99000167844.2999992
42.799999237060540.78300094604000000001 2006-04-2844.29999923743.2599983
43.189998626708941.17894744873000000000 2006-05-0143.18999862643.6800003
000000000000004542.80045318603000000001 2006-05-0245.09999847445.4000015
45.770000457763645.06304931640000000002 2006-05-0346.20000076247.7999992
0000000000047.7545.29872512817000000002 2006-05-0448.40000152548.0499992
47.939998626708945.80781173706000000000 2006-05-0548.04999923748.5900001
46.479999542236344.59166336059000000001 2006-05-0849.09999847447.2999992
48.049999237060548.67374801635000000003 2006-05-09000000048.2551.6300010
49.349998474121047.23134231567000000001 2006-05-1051.72999954250.0999984
000000000000004846.30746841430000000001 2006-05-11000000049.2549.1199989
47.799999237060545.27044677734000000000 2006-05-12000000048.7548.0200004
48.740001678466846.90138626098000000001 2006-05-1548.8499984740000049.75
47.529998779296845.11016845703000000000 2006-05-160000000049.547.8499984
45.790000915527343.96003723144000000001 2006-05-170000000047.546.6300010
46.650001525878944.21458053588000000000 2006-05-18000000046.7546.9000015
46.849998474121044.68594360351000000001 2006-05-1947.40000152547.4000015
45.759998321533244.30885696411000000001 2006-05-2247.4000015250000000047
45.090000152587842.60248947143000000001 2006-05-2347.06000137345.1899986
42.759998321533241.31093597412000000001 2006-05-2445.29999923743.8199996
43.400001525878941.38635253906000000000 2006-05-25000000044.2543.9000015
44.349998474121043.71492004394000000001 2006-05-2644.34999847446.3699989
43.849998474121042.05569839477000000001 2006-05-3000000000004644.6100006
000000000000004544.02603149414000000001 2006-05-3100000000004546.7000007
45.549999237060543.60177993774000000002 2006-06-0145.6800003050000046.25
0000000000045.2543.22468948364000000001 2006-06-0246.25999832145.8499984
44.099998474121042.02741241455000000001 2006-06-0545.45000076244.5800018
44.549999237060543.63007736206000000001 2006-06-0645.02000045746.2799987
46.040000915527344.20514297485000000001 2006-06-070000000046.546.8899993
45.599998474121044.47854614257000000002 2006-06-0800000000004747.1800003
47.180000305175745.08189010620000000000 2006-06-0947.18000030547.8199996
00000000000043.541.71630477905000000002 2006-06-1247.5999984740000044.25
000000000000004139.17091369628000000004 2006-06-1344.15000152541.5499992
41.290000915527340.05708694458000000002 2006-06-1441.79999923742.4900016
42.900001525878942.87587738037000000001 2006-06-1542.90000152545.4799995
45.099998474121042.61191940307000000001 2006-06-1645.49000167845.2000007
45.549999237060543.80919265747000000001 2006-06-1945.54999923746.4700012
46.599998474121044.75193786621000000000 2006-06-2046.65000152547.4700012
000000000000004746.13776397705000000001 2006-06-2147.45000076248.9399986
000000000000004846.69398880004000000001 2006-06-2248.15000152549.5299987
49.080001831054647.76870727539000000001 2006-06-2349.40000152550.6699981
49.209999084472646.79768371582000000000 2006-06-2650.63000106849.6399993
46.840000152587845.28929901123000000001 2006-06-270000000049.548.0400009
46.759998321533244.59166336059000000000 2006-06-2848.34999847447.2999992
46.930000305175745.35528945922000000001 2006-06-2947.79999923748.1100006
47.630001068115247.64615631103000000002 2006-06-3048.40000152550.5400009
50.340000152587849.11682128906000000000 2006-07-0350.63000106852.0999984
00000000000051.550.43666839599000000002 2006-07-0551.90000152500000053.5
53.209999084472652.45413589477000000003 2006-07-060000000053.555.6399993
54.110000610351551.67166900634000000001 2006-07-0700000000005554.8100013
54.799999237060552.65211105346000000001 2006-07-1000000000005555.8499984
51.599998474121050.38953399658000000003 2006-07-1100000000005453.4500007
51.880001068115249.54106140136000000000 2006-07-1253.29999923752.5499992
48.220001220703145.74180603027000000002 2006-07-1300000000005148.5200004
45.419998168945344.49740600585000000002 2006-07-140000000048.547.2000007
46.360000610351544.84621810913000000001 2006-07-17000000047.2547.5699996
46.759998321533246.00579452514000000001 2006-07-1847.56999969448.7999992
49.709999084472648.31550598144000000001 2006-07-1949.9500007620000051.25
49.700000762939447.32562255859000000000 2006-07-2051.20000076250.2000007
48.169998168945345.97749710083000000001 2006-07-2150.20000076248.7700004
49.659999847412147.18421554565000000001 2006-07-2449.90000152550.0499992
49.259998321533248.02325439453000000000 2006-07-2500000000005050.9399986
49.740001678466848.20236968994000000000 2006-07-2650.93999862651.1300010
00000000000047.545.24216079711000000002 2006-07-2751.13000106847.9900016
47.049999237060545.44956207275000000001 2006-07-2800000000004848.2099990
0000000000044.7543.07385635375000000003 2006-07-3147.79999923745.6899986
43.389999389648441.04696655273000000002 2006-08-0145.59999847443.5400009
42.740001678466841.36750030517000000001 2006-08-0243.15000152543.8800010
43.630001068115243.89404296875000000001 2006-08-0343.79999923746.5600013
44.060001373291042.37622451782000000001 2006-08-04000000046.7544.9500007
42.889999389648440.60388183593000000001 2006-08-0743.08000183143.0699996
41.299999237060539.54800796508000000001 2006-08-0843.06999969441.9500007
39.540000915527338.44499588012000000003 2006-08-0941.90000152540.7799987
39.389999389648438.19987487792000000003 2006-08-10000000039.7540.5200004
36.799999237060535.06055831909000000004 2006-08-1140.20000076237.1899986
0000000000037.7535.95615768432000000002 2006-08-1438.54999923738.1399993
000000000000003938.27529907226000000002 2006-08-1539.70000076240.5999984
40.619998931884740.53787612915000000002 2006-08-1640.6500015250000000043
42.040000915527340.33990859985000000001 2006-08-1743.41999816842.7900009
41.400001525878939.68941497802000000000 2006-08-1842.74000167842.0999984
39.729999542236337.92649078369000000001 2006-08-21000000041.7540.2299995
39.790000915527339.12377166748000000001 2006-08-2239.81000137300000041.5
40.340000152587838.54869842529000000000 2006-08-2341.90000152540.8899993
39.599998474121037.91705322265000000001 2006-08-2440.95000076240.2200012
39.479999542236337.21943664550000000000 2006-08-2540.20999908439.4799995
40.099998474121039.41603088378000000000 2006-08-2840.09999847441.8100013
41.490001678466839.87796020507000000001 2006-08-290000000042.542.2999992
41.689998626708940.96212005615000000000 2006-08-3042.45000076243.4500007
42.099998474121039.83082580566000000001 2006-08-3143.3499984740000042.25
00000000000041.539.35945510864000000001 2006-09-0142.4000015250000041.75
42.279998779296840.34933090209000000001 2006-09-0542.72999954242.7999992
40.389999389648438.23759460449000000002 2006-09-0600000000004240.5600013
38.799999237060538.59583282470000000002 2006-09-0740.00999832140.9399986
39.459999084472638.80324554443000000002 2006-09-0841.09999847441.1599998
40.049999237060538.15274429321000000001 2006-09-1140.97999954240.4700012
40.470001220703142.04627609252000000002 2006-09-1240.47000122044.5999984
44.3600006103515042.3291015625000000002 2006-09-1300000000004544.9000015
44.650001525878943.86575698852000000001 2006-09-1444.90000152546.5299987
45.599998474121043.58293533325000000001 2006-09-1546.77000045746.2299995
44.770000457763642.36679458618000000000 2006-09-1846.22999954244.9399986
44.200000762939443.88461685180000000001 2006-09-1944.65000152546.5499992
46.540000915527344.61052322387000000001 2006-09-2047.40000152547.3199996
00000000000045.543.34725952148000000001 2006-09-2147.20000076245.9799995
45.450000762939443.40382385253000000000 2006-09-2246.04999923746.0400009
46.419998168945344.94048690795000000001 2006-09-25000000046.7547.6699981
46.970001220703145.25158309936000000000 2006-09-2647.7999992370000000048
44.409999847412142.45164108276000000002 2006-09-27000000047.2545.0299987
43.549999237060541.65974807739000000002 2006-09-2845.38000106844.1899986
44.090000152587841.79172897338000000001 2006-09-2944.56000137344.3300018
44.849998474121043.46980285644000000001 2006-10-0200000000004546.1100006
45.919998168945344.93106079101000000002 2006-10-0346.59999847447.6599998
46.959999084472644.74250793457000000002 2006-10-0447.65999984747.4599990
45.830001831054645.35528945922000000001 2006-10-0547.25999832148.1100006
47.189998626708945.01589965820000000001 2006-10-0647.9000015250000047.75
00000000000046.544.33712768554000000000 2006-10-0947.02000045747.0299987
47.689998626708945.51555633544000000001 2006-10-1047.95000076248.2799987
45.689998626708944.78964614868000000002 2006-10-1147.15000152547.5099983
47.049999237060544.83678817749000000001 2006-10-1247.70999908447.5600013
45.580001831054643.29068374633000000002 2006-10-1347.40000152545.9199981
45.009998321533242.48934936523000000001 2006-10-16000000045.7545.0699996
44.080001831054642.24424743652000000001 2006-10-1744.84999847444.8100013
43.810001373291043.73377227783000000002 2006-10-1845.81000137346.3899993
45.759998321533244.96876525878000000001 2006-10-1945.88000106847.7000007
47.700000762939446.89196777343000000003 2006-10-2047.70999908449.7400016
49.680000305175747.37276458740000000002 2006-10-2349.9000015250000050.25
49.310001373291047.69328308105000000001 2006-10-2450.04999923750.5900001
47.909999847412145.73238754272000000002 2006-10-2550.29999923748.5099983
48.729999542236346.59971237182000000002 2006-10-2649.86000061049.4300003
48.860000610351546.53371810913000000001 2006-10-2748.95000076249.3600006
49.400001525878948.34377670288000000001 2006-10-3049.40000152551.2799987
49.150001525878947.00508117675000000001 2006-10-3151.29000091549.8600006
48.180000305175745.73238754272000000000 2006-11-0149.95000076248.5099983
000000000000004744.78022384643000000001 2006-11-0248.50999832100000047.5
000000000000004744.70479965209000000000 2006-11-0347.97999954247.4199981
48.099998474121047.20306396484000000001 2006-11-0648.09999847450.0699996
49.930000305175747.71214294433000000000 2006-11-0750.15999984750.6100006
48.819999694824246.69398880004000000001 2006-11-0850.22000122049.5299987
48.709999084472646.10948562622000000000 2006-11-0949.29999923748.9099998
000000000000004946.47715759277000000000 2006-11-1049.54000091549.2999992
49.459999084472648.57946777343000000001 2006-11-1349.65999984751.5299987
49.349998474121048.01382064819000000001 2006-11-1451.20000076250.9300003
53.349998474121056.09310913085000000013 2006-11-150000000053.500000059.5
58.099998474121057.13956069946000000007 2006-11-1659.50999832160.6100006
58.599998474121056.04597473144000000004 2006-11-1760.61000061059.4500007
59.639999389648456.42308044433000000002 2006-11-2059.65000152559.8499984
000000000000005957.40352630615000000003 2006-11-2159.79999923760.8899993
60.810001373291059.34557723999000000002 2006-11-2261.40000152562.9500007
000000000000006259.34557723999000000000 2006-11-2462.04999923762.9500007
58.779998779296855.77259063720000000001 2006-11-2762.70000076259.1599998
000000000000005754.84869766235000000002 2006-11-2858.59999847458.1800003
00000000000056.553.51000213623000000002 2006-11-2959.40000152556.7599983
000000000000005653.51000213623000000002 2006-11-3057.04999923756.7599983
55.299999237060552.88779449462000000002 2006-12-0157.50999832156.0999984
55.950000762939454.83926391601000000001 2006-12-0456.61999893158.1699981
56.810001373291054.37733078002000000001 2006-12-0500000000005857.6800003
58.200000762939456.85673141479000000002 2006-12-0659.04000091560.3100013
58.799999237060555.63117218017000000001 2006-12-0759.34000015259.0099983
58.069999694824255.85743331909000000001 2006-12-0859.0099983210000059.25
60.029998779296858.03516769409000000002 2006-12-1160.72000122061.5600013
58.599998474121056.05540466308000000001 2006-12-1261.04999923759.4599990
58.630001068115255.85743331909000000003 2006-12-1361.3300018310000059.25
56.459999084472653.81167984008000000004 2006-12-1458.68999862657.0800018
56.380001068115253.26489257812000000002 2006-12-1557.61000061000000056.5
0000000000055.2552.60496902465000000002 2006-12-1856.61999893155.7999992
000000000000005454.20763778686000000002 2006-12-1954.56000137300000057.5
55.709999084472652.60496902465000000001 2006-12-2057.09999847455.7999992
54.590000152587852.56726455688000000001 2006-12-2155.90000152555.7599983
000000000000005452.17131423950000000001 2006-12-2200000000005455.3400001
54.790000915527352.61441802978000000001 2006-12-2655.95000076255.8100013
00000000000055.553.77397155761000000001 2006-12-2755.93000030557.0400009
54.770000457763652.56726455688000000001 2006-12-2857.04000091555.7599983
53.849998474121050.76662445068000000001 2006-12-2955.75999832153.8499984
53.889999389648453.07635116577000000002 2007-01-0353.88999938956.2999992
53.650001525878955.47090530395000000002 2007-01-0456.29999923758.8400001
57.900001525878954.95240402221000000001 2007-01-0558.83000183158.2900009
57.040000915527354.61302185058000000002 2007-01-0857.29999923757.9300003
57.560001373291054.58473587036000000002 2007-01-0959.43999862657.9000015
57.340000152587855.55575942993000000003 2007-01-1060.02999877958.9300003
58.880001068115257.69578170776000000002 2007-01-1159.18000030561.2000007
60.599998474121057.32811737060000000001 2007-01-1261.20000076260.8100013
60.810001373291058.41226577758000000001 2007-01-1660.81000137361.9599990
58.389999389648455.29178619384000000002 2007-01-1760.95999908458.6500015
57.400001525878954.51874542236000000003 2007-01-1858.65000152557.8300018
56.849998474121054.95240402221000000002 2007-01-1957.72999954258.2900009
56.189998626708953.76454162597000000002 2007-01-2258.29999923757.0299987
52.880001068115250.21984481811000000003 2007-01-2355.40000152553.2700004
52.049999237060550.29526138305000000003 2007-01-2453.20000076253.3499984
0000000000052.2550.77605438232000000002 2007-01-2553.79999923753.8600006
51.520000457763649.14511871337000000003 2007-01-2653.15000152552.1300010
52.150001525878951.31341934204000000004 2007-01-2952.22999954254.4300003
52.049999237060550.05957412719000000003 2007-01-3055.31000137353.0999984
0000000000051.7552.77466201782000000005 2007-01-3153.09999847455.9799995
00000000000055.554.66957092285000000002 2007-02-010000000056.557.9900016
56.659999847412154.66014862060000000002 2007-02-0200000000005757.9799995
57.020000457763655.06552505493000000001 2007-02-0557.49000167858.4099998
57.319999694824254.97126007080000000001 2007-02-0657.63999938958.3100013
57.709999084472654.75442123413000000001 2007-02-0758.40000152558.0800018
57.619998931884755.91398620605000000001 2007-02-0800000000005859.3100013
57.130001068115254.81098556518000000001 2007-02-0959.36000061058.1399993
58.240001678466855.50861358642000000001 2007-02-1258.45000076258.8800010
58.900001525878955.78202056884000000001 2007-02-1358.90000152559.1699981
57.490001678466854.48102569580000000003 2007-02-1457.59999847457.7900009
57.349998474121054.11336135864000000001 2007-02-1557.61000061057.4000015
56.139999389648453.45343780517000000001 2007-02-1657.72000122056.7000007
55.520000457763653.15176391601000000001 2007-02-2056.95999908456.3800010
55.529998779296852.53898620605000000001 2007-02-2156.36999893155.7299995
54.130001068115251.49253082275000000001 2007-02-2255.70999908454.6199989
53.680000305175751.14371490478000000001 2007-02-2354.6199989310000054.25
53.270000457763650.28583145141000000001 2007-02-2654.38000106853.3400001
50.619998931884748.82458496093000000002 2007-02-2753.02999877951.7900009
50.599998474121049.29595184326000000001 2007-02-2851.75999832152.2900009
50.419998168945349.09798431396000000002 2007-03-0100000000005152.0800018
50.619998931884747.74985504150000000001 2007-03-0251.90000152550.6500015
49.840000152587847.22191619873000000001 2007-03-0550.52000045750.0900001
50.069999694824247.35390472412000000001 2007-03-0650.34999847450.2299995
49.020000457763646.52428817749000000002 2007-03-0750.08000183149.3499984
49.110000610351546.48657989501000000002 2007-03-0849.88000106849.3100013
48.680000305175746.12833786010000000001 2007-03-09000000049.7548.9300003
49.139999389648446.61856842041000000001 2007-03-1249.20000076249.4500007
46.979999542236344.72365188598000000001 2007-03-1349.06000137347.4399986
44.009998321533243.15870666503000000004 2007-03-14000000047.7545.7799987
45.840000152587843.87518692016000000002 2007-03-1545.95000076246.5400009
45.860000610351543.73377227783000000001 2007-03-1646.20999908446.3899993
46.299999237060545.11961364746000000001 2007-03-1946.29999923747.8600006
47.849998474121045.75123596191000000001 2007-03-2047.88000106848.5299987
48.130001068115246.58085632324000000002 2007-03-2100000000004949.4099998
0000000000047.7545.15731811523000000001 2007-03-2250.47000122047.9000015
47.270000457763644.85565185546000000001 2007-03-2347.90000152547.5800018
46.389999389648444.04487609863000000001 2007-03-2600000000004746.7200012
45.849998474121044.03544998168000000001 2007-03-2746.86999893146.7099990
45.279998779296843.75263595581000000001 2007-03-2846.04000091546.4099998
44.619998931884742.92302322387000000001 2007-03-2946.65000152545.5299987
44.560001373291042.87587738037000000001 2007-03-3046.06999969445.4799995
43.930000305175742.47051239013000000002 2007-04-0245.25999832145.0499992
46.290000915527345.12902450561000000003 2007-04-0346.31999969447.8699989
46.240001678466843.82804870605000000002 2007-04-0448.09999847446.4900016
46.029998779296844.35598754882000000001 2007-04-0546.40000152547.0499992
45.959999084472645.07247924804000000002 2007-04-0946.29999923747.8100013
0000000000045.7543.21525955200000000002 2007-04-1047.15000152545.8400001
0000000000044.7542.43279266357000000002 2007-04-11000000045.7545.0099983
43.930000305175741.59375762939000000002 2007-04-1244.90000152544.1199989
44.009998321533242.64020156860000000001 2007-04-1344.11999893145.2299995
45.299999237060542.74390411376000000001 2007-04-1645.47999954245.3400001
000000000000004543.31896591186000000001 2007-04-1745.31999969445.9500007
45.659999847412144.28999328613000000002 2007-04-1845.70000076246.9799995
45.150001525878942.81931686401000000002 2007-04-1946.95000076245.4199981
44.619998931884742.71561813354000000003 2007-04-2045.61000061045.3100013
43.040000915527340.73585510253000000003 2007-04-230000000045.543.2099990
41.709999084472640.32105636596000000004 2007-04-2443.40000152542.7700004
41.299999237060540.20793151855000000003 2007-04-2542.45000076242.6500015
39.189998626708937.07802963256000000006 2007-04-2644.09999847439.3300018
37.110000610351535.05112838745000000005 2007-04-2738.81000137337.1800003
36.680000305175734.82486724853000000003 2007-04-3000000000003836.9399986
35.610000610351534.93801116943000000004 2007-05-0136.70000076237.0600013
35.400001525878934.10838699340000000007 2007-05-0235.86999893136.1800003
35.419998168945333.51446151733000000003 2007-05-0336.45000076235.5499992
35.599998474121034.08010482788000000003 2007-05-0435.70999908436.1500015
34.849998474121033.09965133666000000003 2007-05-0736.52000045735.1100006
34.110000610351532.43030929565000000003 2007-05-0835.11999893134.4000015
34.150001525878932.37373733520000000004 2007-05-09000000034.2534.3400001
33.099998474121031.37443542480000000004 2007-05-1033.79999923733.2799987
32.790000915527331.44985389709000000002 2007-05-1133.11000061033.3600006
32.569999694824231.61012840270000000002 2007-05-1432.81000137333.5299987
0000000000032.2530.59195899963000000004 2007-05-1533.20000076232.4500007
32.490001678466831.09161376953000000003 2007-05-1632.86999893132.9799995
32.099998474121031.36500358581000000005 2007-05-1732.09999847433.2700004
32.759998321533231.56298637390000000002 2007-05-1833.18999862633.4799995
32.770000457763631.11989784240000000003 2007-05-2133.49000167833.0099983
33.159999847412132.77912139892000000003 2007-05-2233.36000061034.7700004
34.080001831054632.94881820678000000003 2007-05-2334.97999954234.9500007
34.450000762939433.11849594116000000002 2007-05-2434.79999923735.1300010
34.169998168945332.28889846801000000001 2007-05-2535.0999984740000034.25
34.599998474121033.56159591674000000001 2007-05-2934.84000015235.5999984
35.049999237060533.61815643310000000001 2007-05-3035.36999893135.6599998
35.419998168945333.60872650146000000001 2007-05-3135.70000076235.6500015
34.959999084472633.23163986206000000001 2007-06-0135.7200012200000035.25
33.689998626708932.00608444213000000002 2007-06-04000000035.2533.9500007
33.369998931884731.61012840270000000002 2007-06-0534.29999923733.5299987
32.439998626708930.76165962219000000002 2007-06-0633.40000152532.6300010
