3.507999897003174.777999877929000000093 2010-06-293.79999995234.77799987
3.799999952316284.026000022888000000005 2010-08-233.81800007824.02600002
3.789999961853023.839999914169000000003 2010-08-243.84999990463.83999991
3.711999893188473.980000019073000000002 2010-08-253.83200001713.98000001
3.920000076293943.950000047683000000002 2010-08-263.97799992563.95000004
3.900000095367433.940000057220000000001 2010-08-273.95000004763.94000005
3.921999931335443.973999977111000000003 2010-08-303.94000005723.97399997
3.865999937057493.895999908447000000001 2010-08-313.93199992173.89599990
3.920000076293944.090000152587000000002 2010-09-013.92400002474.09000015
4.061999797821044.211999893188000000002 2010-09-024.07399988174.21199989
4.131999969482424.210000038146000000002 2010-09-034.17399978634.21000003
4.099999904632564.107999801635000000001 2010-09-074.12200021744.10799980
4.119999885559084.179999828338000000001 2010-09-084.13199996944.17999982
4.138000011444094.142000198364000000001 2010-09-094.19999980924.14200019
3.951999902725214.033999919891000000001 2010-09-104.15000009534.03399991
4.099999904632564.144000053405000000001 2010-09-134.17799997324.14400005
4.105999946594234.223999977111000000003 2010-09-144.10799980164.22399997
4.157999992370604.395999908447000000003 2010-09-154.19600009914.39599990
4.168000221252444.188000202178000000013 2010-09-164.42999982834.18800020
3.960000038146974.046000003814000000005 2010-09-174.20399999614.04600000
4.032000064849854.211999893188000000004 2010-09-204.13399982454.21199989
4.133999824523924.153999805450000000003 2010-09-214.17799997324.15399980
3.960000038146973.973999977111000000004 2010-09-224.17399978633.97399997
3.900000095367433.911999940872000000003 2010-09-233.97799992563.91199994
3.930000066757204.019999980926000000002 2010-09-243.99000000954.01999998
4.010000228881834.105999946594000000002 2010-09-274.07999992374.10599994
4.151999950408934.280000209808000000006 2010-09-284.20800018314.28000020
4.225999832153324.395999908447000000009 2010-09-294.23799991604.39599990
4.038000106811524.081999778747000000010 2010-09-304.40000009534.08199977
4.061999797821044.119999885559000000002 2010-10-014.13800001144.11999988
4.059999942779544.197999954223000000003 2010-10-044.08599996564.19799995
4.202000141143794.223999977111000000001 2010-10-054.23000001904.22399997
4.064000129699704.092000007629000000001 2010-10-064.21199989314.09200000
4.067999839782714.085999965667000000000 2010-10-074.11399984354.08599996
4.078000068664554.085999965667000000001 2010-10-084.08599996564.08599996
4.013999938964844.047999858856000000000 2010-10-114.08799982074.04799985
4.006000041961674.047999858856000000001 2010-10-124.03999996184.04799985
4.072000026702884.107999801635000000001 2010-10-134.12799978254.10799980
4.079999923706054.150000095367000000001 2010-10-144.19999980924.15000009
4.050000190734864.107999801635000000001 2010-10-154.17799997324.10799980
4.044000148773194.046000003814000000000 2010-10-184.10400009154.04600000
00000000000000044.010000228881000000001 2010-10-194.03999996184.01000022
4.007999897003174.130000114440000000001 2010-10-204.03200006484.13000011
4.090000152587894.150000095367000000002 2010-10-214.12200021744.15000009
4.110000133514404.144000053405000000000 2010-10-224.13600015644.14400005
4.145999908447264.170000076293000000000 2010-10-254.18800020214.17000007
4.102000236511234.271999835968000000003 2010-10-264.15999984744.27199983
4.130000114440914.199999809265000000001 2010-10-27000000004.254.19999980
4.191999912261964.237999916076000000001 2010-10-284.27799987794.23799991
4.210000038146974.368000030517000000001 2010-10-294.22800016404.36800003
4.262000083923344.282000064849000000002 2010-11-014.38800001144.28200006
4.2100000381469700000000004.25000000001 2010-11-024.33599996560000004.25
4.231999874114994.354000091552000000001 2010-11-034.25600004194.35400009
4.429999828338624.980000019073000000009 2010-11-044.51999998094.98000001
4.743999958038334.888000011444000000005 2010-11-054.97399997714.88800001
4.806000232696534.995999813079000000002 2010-11-084.90000009534.99599981
4.809999942779544.926000118255000000004 2010-11-090000000000054.92600011
4.809999942779545.872000217437000000015 2010-11-104.89599990845.87200021
5.466000080108645.607999801635000000009 2010-11-115.71999979015.60799980
5.613999843597415.967999935150000000013 2010-11-125.65000009535.96799993
6.044000148773196.159999847412000000013 2010-11-156.04400014876.15999984
5.684000015258785.934000015258000000006 2010-11-166.19999980925.93400001
5.722000122070315.897999763488000000003 2010-11-176.03999996185.89799976
5.783999919891355.978000164031000000004 2010-11-186.13399982455.97800016
5.940000057220456.197999954223000000005 2010-11-196.03200006486.19799995
6.300000190734866.679999828338000000007 2010-11-226.31400012966.67999982
6.438000202178956.914000034332000000007 2010-11-236.65799999236.91400003
6.866000175476077.093999862670000000007 2010-11-247.05399990087.09399986
6.949999809265137.064000129699000000001 2010-11-267.11999988557.06400012
6.665999889373776.866000175476000000005 2010-11-297.08199977876.86600017
6.682000160217287.065999984741000000011 2010-11-306.74800014497.06599998
6.690000057220456.869999885559000000006 2010-12-017.17399978636.86999988
6.239999771118166.469999790191000000010 2010-12-026.80200004576.46999979
6.173999786376956.297999858856000000005 2010-12-036.40199995046.29799985
5.912000179290776.061999797821000000006 2010-12-066.26999998096.06199979
6.010000228881836.311999797821000000006 2010-12-076.09800004956.31199979
6.303999900817876.473999977111000000003 2010-12-086.49599981306.47399997
6.329999923706056.409999847412000000002 2010-12-096.50199985506.40999984
6.225999832153326.303999900817000000002 2010-12-106.40999984746.30399990
6.079999923706056.110000133514000000002 2010-12-136.32800006866.11000013
5.552000045776365.705999851226000000008 2010-12-146.05800008775.70599985
5.705999851226805.920000076293000000003 2010-12-155.73400020595.92000007
5.929999828338626.162000179290000000003 2010-12-160000000000066.16200017
6.142000198364256.271999835968000000004 2010-12-176.26800012586.27199983
6.251999855041506.340000152587000000002 2010-12-206.32800006866.34000015
6.342000007629396.452000141143000000003 2010-12-216.36000013356.45200014
6.340000152587896.526000022888000000004 2010-12-226.44999980926.52600002
5.984000205993656.018000125885000000007 2010-12-236.25199985506.01800012
5.012000083923345.110000133514000000046 2010-12-275.60400009155.11000013
00000000000000055.282000064849000000020 2010-12-285.17000007625.28200006
5.300000190734865.546000003814000000016 2010-12-295.40600013735.54600000
5.276000022888185.300000190734000000010 2010-12-305.53999996185.30000019
5.300000190734865.326000213623000000007 2010-12-315.31400012965.32600021
5.179999828338625.323999881744000000006 2011-01-035.36800003055.32399988
5.203999996185305.334000110626000000005 2011-01-045.33199977875.33400011
5.237999916076665.366000175476000000007 2011-01-055.29600000385.36600017
5.361999988555905.576000213623000000010 2011-01-065.36600017545.57600021
5.579999923706055.647999763488000000011 2011-01-075.59999990465.64799976
5.610000133514405.690000057220000000006 2011-01-105.63399982455.69000005
5.383999824523925.392000198364000000008 2011-01-115.71799993515.39200019
5.303999900817875.392000198364000000004 2011-01-125.40199995045.39200019
5.231999874114995.243999958038000000003 2011-01-135.39200019835.24399995
5.122000217437745.150000095367000000005 2011-01-145.23000001905.15000009
4.949999809265135.127999782562000000008 2011-01-185.09600019455.12799978
0000000000004.754.806000232696000000011 2011-01-195.05399990084.80600023
4.473999977111814.524000167846000000011 2011-01-204.80600023264.52400016
4.541999816894534.607999801635000000006 2011-01-214.62400007244.60799980
4.645999908447264.897999763488000000008 2011-01-244.70599985124.89799976
4.803999900817874.935999870300000000006 2011-01-254.92999982834.93599987
4.820000171661374.949999809265000000005 2011-01-264.94199991224.94999980
4.906000137329104.984000205993000000004 2011-01-274.94799995424.98400020
0000000000004.754.802000045776000000005 2011-01-284.97599983214.80200004
4.699999809265134.820000171661000000004 2011-01-314.80999994274.82000017
4.708000183105464.782000064849000000003 2011-02-014.86199998854.78200006
4.734000205993654.788000106811000000002 2011-02-024.83199977874.78800010
4.630000114440914.725999832153000000002 2011-02-034.76399993894.72599983
4.644000053405764.691999912261000000002 2011-02-044.68800020214.69199991
4.576000213623044.613999843597000000004 2011-02-074.65199995044.61399984
4.599999904632564.897999763488000000017 2011-02-084.75600004194.89799976
4.558000087738034.642000198364000000013 2011-02-094.82600021364.64200019
4.561999797821044.644000053405000000004 2011-02-104.65199995044.64400005
4.587999820709224.650000095367000000003 2011-02-114.65000009534.65000009
4.610000133514404.616000175476000000006 2011-02-144.72800016404.61600017
4.512000083923344.567999839782000000004 2011-02-154.60200023654.56799983
4.613999843597414.946000099182000000020 2011-02-164.61999988554.94600009
4.710000038146974.719999790191000000013 2011-02-174.92600011824.71999979
4.592000007629394.636000156402000000011 2011-02-184.66599988934.63600015
4.355999946594234.374000072479000000010 2011-02-224.57600021364.37400007
4.222000122070314.366000175476000000008 2011-02-234.43599987034.36600017
4.300000190734864.506000041961000000005 2011-02-244.35599994654.50600004
4.538000106811524.722000122070000000006 2011-02-254.56199979784.72200012
4.699999809265134.777999877929000000005 2011-02-284.74800014494.77799987
4.739999771118164.788000106811000000005 2011-03-014.80999994274.78800010
4.745999813079834.803999900817000000003 2011-03-024.76399993894.80399990
4.811999797821044.872000217437000000003 2011-03-034.89599990844.87200021
4.756000041961674.989999771118000000007 2011-03-044.89599990844.98999977
4.940000057220454.987999916076000000010 2011-03-074.98600006104.98799991
4.800000190734864.932000160217000000006 2011-03-084.92000007624.93200016
4.854000091552734.943999767303000000004 2011-03-094.93200016024.94399976
4.745999813079834.802000045776000000005 2011-03-104.88800001144.80200004
4.705999851226804.814000129699000000004 2011-03-114.76999998094.81400012
4.639999866485594.650000095367000000005 2011-03-144.76399993894.65000009
4.360000133514404.590000152587000000006 2011-03-154.44000005724.59000015
4.538000106811524.564000129699000000005 2011-03-164.57200002674.56400012
4.527999877929684.561999797821000000004 2011-03-174.64799976344.56199979
4.501999855041504.592000007629000000003 2011-03-184.63800001144.59200000
4.507999897003174.546000003814000000002 2011-03-214.61000013354.54600000
4.400000095367434.438000202178000000002 2011-03-224.54600000384.43800020
4.354000091552734.441999912261000000002 2011-03-234.42199993134.44199991
4.395999908447264.466000080108000000002 2011-03-244.42799997324.46600008
4.480000019073484.550000190734000000002 2011-03-254.48600006104.55000019
4.510000228881834.650000095367000000005 2011-03-284.53999996184.65000009
4.642000198364254.783999919891000000003 2011-03-294.65999984744.78399991
4.602000236511234.742000102996000000006 2011-03-304.82200002674.74200010
5.300000190734865.550000190734000000057 2011-03-315.30999994275.55000019
5.314000129699705.331999778747000000014 2011-04-015.48999977115.33199977
5.046000003814695.165999889373000000013 2011-04-045.36600017545.16599988
5.138000011444095.340000152587000000015 2011-04-055.17999982835.34000015
5.159999847412105.297999858856000000006 2011-04-065.39799976345.29799985
5.289999961853025.447999954223000000014 2011-04-075.36999988555.44799995
5.271999835968015.297999858856000000009 2011-04-085.51599979405.29799985
5.004000186920165.053999900817000000006 2011-04-115.29400014875.05399990
4.860000133514404.929999828338000000006 2011-04-125.01599979404.92999982
4.961999893188474.986000061035000000006 2011-04-135.02600002284.98600006
4.840000152587895.027999877929000000004 2011-04-144.97399997715.02799987
5.081999778747555.116000175476000000004 2011-04-155.13000011445.11600017
4.872000217437745.006000041961000000005 2011-04-185.02600002285.00600004
4.929999828338625.032000064849000000002 2011-04-195.05200004575.03200006
5.059999942779545.150000095367000000004 2011-04-205.13999986645.15000009
5.118000030517575.348000049591000000006 2011-04-215.17000007625.34800004
5.193999767303465.277999877929000000004 2011-04-255.34000015255.27799987
5.262000083923345.386000156402000000007 2011-04-265.33199977875.38600015
5.326000213623045.415999889373000000004 2011-04-275.38600015645.41599988
5.343999862670895.532000064849000000008 2011-04-285.41400003435.53200006
5.484000205993655.519999980926000000003 2011-04-295.53800010685.51999998
5.412000179290775.489999771118000000003 2011-05-025.51999998095.48999977
5.300000190734865.374000072479000000004 2011-05-035.47599983215.37400007
5.150000095367435.337999820709000000005 2011-05-045.35599994655.33799982
5.234000205993655.288000106811000000006 2011-05-055.44000005725.28800010
5.323999881744385.423999786376000000004 2011-05-065.38000011445.42399978
5.369999885559085.581999778747000000004 2011-05-095.40000009535.58199977
5.581999778747555.665999889373000000007 2011-05-105.64799976345.66599988
5.383999824523925.414000034332000000004 2011-05-115.63999986645.41400003
5.329999923706055.533999919891000000003 2011-05-125.41400003435.53399991
5.460000038146975.510000228881000000003 2011-05-135.59999990465.51000022
5.309999942779545.320000171661000000003 2011-05-165.59800004955.32000017
5.144000053405765.191999912261000000006 2011-05-175.40000009535.19199991
5.104000091552735.269999980926000000003 2011-05-185.21999979015.26999998
5.320000171661375.639999866485000000013 2011-05-195.40600013735.63999986
5.469999790191655.593999862670000000004 2011-05-205.65199995045.59399986
5.323999881744385.363999843597000000004 2011-05-235.52400016785.36399984
5.320000171661375.343999862670000000003 2011-05-245.40399980545.34399986
5.234000205993655.796000003814000000023 2011-05-255.38000011445.79600000
5.619999885559085.895999908447000000016 2011-05-265.76399993895.89599990
5.763999938964845.909999847412000000008 2011-05-275.90799999235.90999984
5.909999847412106.027999877929000000016 2011-05-315.93800020216.02799987
5.676000118255615.703999996185000000007 2011-06-010000000000065.70399999
5.702000141143795.751999855041000000004 2011-06-025.70399999615.75199985
5.900000095367436.026000022888000000031 2011-06-035.98999977116.02600002
5.651999950408935.739999771118000000011 2011-06-066.01999998095.73999977
5.651999950408935.673999786376000000006 2011-06-075.78800010685.67399978
5.403999805450435.423999786376000000008 2011-06-085.68800020215.42399978
5.420000076293945.524000167846000000008 2011-06-095.48600006105.52400016
5.469999790191655.572000026702000000007 2011-06-105.50400018695.57200002
5.576000213623045.685999870300000000008 2011-06-135.61399984355.68599987
5.703999996185305.719999790191000000007 2011-06-145.70800018315.71999979
5.414000034332275.464000225067000000006 2011-06-155.68800020215.46400022
5.147999763488765.300000190734000000009 2011-06-165.53399991985.30000019
5.228000164031985.300000190734000000008 2011-06-175.37400007245.30000019
5.099999904632565.202000141143000000007 2011-06-205.25799989705.20200014
5.199999809265135.506000041961000000007 2011-06-215.24800014495.50600004
5.420000076293945.441999912261000000007 2011-06-225.47399997715.44199991
5.242000102996825.541999816894000000005 2011-06-235.44000005725.54199981
5.452000141143795.513999938964000000018 2011-06-245.52799987795.51399993
5.461999893188475.492000102996000000009 2011-06-275.54600000385.49200010
5.533999919891355.622000217437000000004 2011-06-285.55800008775.62200021
5.613999843597415.657999992370000000007 2011-06-295.69999980925.65799999
5.679999828338625.826000213623000000004 2011-06-305.69999980925.82600021
5.760000228881835.803999900817000000004 2011-07-015.81400012965.80399990
5.742000102996825.828000068664000000004 2011-07-055.80399990085.82800006
5.710000038146975.791999816894000000004 2011-07-065.82800006865.79199981
5.802000045776365.946000099182000000006 2011-07-075.82800006865.94600009
5.717999935150145.762000083923000000006 2011-07-085.97800016405.76200008
5.599999904632565.670000076293000000004 2011-07-115.67999982835.67000007
5.599999904632565.633999824523000000005 2011-07-125.67399978635.63399982
5.579999923706055.728000164031000000005 2011-07-135.68599987035.72800016
5.449999809265135.521999835968000000005 2011-07-145.70599985125.52199983
5.480000019073485.515999794006000000003 2011-07-155.55800008775.51599979
5.326000213623045.446000099182000000004 2011-07-185.46799993515.44600009
5.507999897003175.578000068664000000005 2011-07-195.51599979405.57800006
5.559999942779545.737999916076000000015 2011-07-205.59999990465.73799991
5.619999885559085.739999771118000000005 2011-07-215.78200006485.73999977
5.710000038146975.857999801635000000002 2011-07-225.73999977115.85799980
5.688000202178955.697999954223000000003 2011-07-255.80200004575.69799995
5.593999862670895.599999904632000000003 2011-07-265.66200017925.59999990
5.501999855041505.527999877929000000004 2011-07-275.69999980925.52799987
5.507999897003175.633999824523000000004 2011-07-285.51999998095.63399982
00000000000005.55.633999824523000000004 2011-07-295.55999994275.63399982
5.642000198364255.754000186920000000005 2011-08-015.73400020595.75400018
5.453999996185305.467999935150000000007 2011-08-025.73799991605.46799993
5.268000125885015.440000057220000000008 2011-08-030000000005.55.44000005
4.934000015258784.949999809265000000015 2011-08-045.30200004574.94999980
4.565999984741214.848000049591000000009 2011-08-054.99800014494.84800004
4.619999885559084.728000164031000000013 2011-08-084.61999988554.72800016
4.739999771118165.012000083923000000006 2011-08-094.82999992375.01200008
4.725999832153324.763999938964000000007 2011-08-105.08799982074.76399993
4.800000190734865.059999942779000000004 2011-08-114.80800008775.05999994
5.072000026702885.262000083923000000005 2011-08-125.11999988555.26200008
5.185999870300295.245999813079000000003 2011-08-155.32399988175.24599981
5.165999889373775.219999790191000000002 2011-08-165.22599983215.21999979
5.102000236511235.165999889373000000003 2011-08-175.27799987795.16599988
4.693999767303464.852000236511000000005 2011-08-180000000000054.85200023
4.400000095367434.460000038146000000006 2011-08-194.77199983594.46000003
4.335999965667724.389999866485000000004 2011-08-224.62200021744.38999986
4.300000190734864.592000007629000000004 2011-08-234.38600015644.59200000
4.565999984741214.774000167846000000003 2011-08-244.61999988554.77400016
4.579999923706054.622000217437000000003 2011-08-254.77400016784.62200021
4.414000034332274.745999813079000000003 2011-08-264.54199981684.74599981
4.803999900817874.941999912261000000004 2011-08-294.84399986264.94199991
4.817999839782714.926000118255000000001 2011-08-304.90000009534.92600011
4.855999946594234.947999954223000000004 2011-08-314.96000003814.94799995
4.768000125885014.800000190734000000004 2011-09-014.93200016024.80000019
4.535999774932864.613999843597000000003 2011-09-024.73199987414.61399984
4.458000183105464.587999820709000000004 2011-09-060000000004.54.58799982
4.656000137329104.768000125885000000002 2011-09-074.67799997324.76800012
4.656000137329104.722000122070000000002 2011-09-084.71600008014.72200012
4.510000228881834.593999862670000000003 2011-09-094.67399978634.59399986
4.489999771118164.576000213623000000002 2011-09-120000000004.54.57600021
4.550000190734864.815999984741000000003 2011-09-134.60200023654.81599998
4.757999897003174.868000030517000000004 2011-09-144.84999990464.86800003
4.866000175476074.964000225067000000002 2011-09-154.91599988934.96400022
4.897999763488765.159999847412000000007 2011-09-164.95599985125.15999984
4.763999938964845.153999805450000000005 2011-09-194.98999977115.15399980
5.133999824523925.202000141143000000005 2011-09-205.19600009915.20200014
5.139999866485595.170000076293000000004 2011-09-215.19000005725.17000007
4.975999832153325.125999927520000000003 2011-09-225.12799978255.12599992
5.070000171661375.276000022888000000005 2011-09-235.09800004955.27600002
4.980000019073485.104000091552000000004 2011-09-265.30399990085.10400009
5.113999843597415.237999916076000000003 2011-09-275.19999980925.23799991
4.901999950408934.918000221252000000003 2011-09-285.19999980924.91800022
4.710000038146974.823999881744000000004 2011-09-295.14400005344.82399988
4.697999954223634.877999782562000000006 2011-09-304.96000003814.87799978
4.650000095367434.745999813079000000005 2011-10-034.98999977114.74599981
4.585999965667724.731999874114000000006 2011-10-044.65799999234.73199987
4.670000076293945.073999881744000000006 2011-10-054.80600023265.07399988
5.004000186920165.392000198364000000008 2011-10-065.07399988175.39200019
5.210000038146975.397999763488000000006 2011-10-075.39599990845.39799976
5.400000095367435.576000213623000000004 2011-10-105.46199989315.57600021
5.418000221252445.521999835968000000002 2011-10-115.50199985505.52199983
5.440000057220455.559999942779000000005 2011-10-125.44999980925.55999994
5.487999916076665.587999820709000000005 2011-10-135.52600002285.58799982
5.452000141143795.610000133514000000007 2011-10-145.59999990465.61000013
5.452000141143795.484000205993000000003 2011-10-175.57200002675.48400020
5.342000007629395.668000221252000000004 2011-10-185.46000003815.66800022
5.460000038146975.513999938964000000003 2011-10-195.60400009155.51399993
5.400000095367435.467999935150000000004 2011-10-205.48799991605.46799993
5.401999950408935.605999946594000000005 2011-10-215.48000001905.60599994
5.550000190734865.710000038146000000004 2011-10-245.57399988175.71000003
5.559999942779545.650000095367000000003 2011-10-255.64599990845.65000009
5.480000019073485.596000194549000000002 2011-10-265.63800001145.59600019
5.622000217437745.751999855041000000004 2011-10-275.66800022125.75199985
5.602000236511235.973999977111000000006 2011-10-285.69999980925.97399997
0000000000005.755.874000072479000000005 2011-10-315.90000009535.87400007
5.599999904632565.776000022888000000003 2011-11-015.67799997325.77600002
5.650000095367435.742000102996000000004 2011-11-025.80000019075.74200010
5.906000137329106.492000102996000000012 2011-11-030000000000066.49200010
6.102000236511236.461999893188000000015 2011-11-046.29199981686.46199989
6.150000095367436.254000186920000000006 2011-11-076.32800006866.25400018
6.144000053405766.368000030517000000005 2011-11-086.27400016786.36800003
6.059999942779546.176000118255000000004 2011-11-096.17399978636.17600011
6.130000114440916.265999794006000000003 2011-11-106.18800020216.26599979
6.113999843597416.728000164031000000019 2011-11-116.38000011446.72800016
6.524000167846686.644000053405000000006 2011-11-146.59999990466.64400005
6.546000003814696.785999774932000000004 2011-11-156.58400011066.78599977
6.679999828338626.987999916076000000009 2011-11-166.69600009916.98799991
6.638000011444096.736000061035000000006 2011-11-176.90000009536.73600006
6.507999897003176.519999980926000000004 2011-11-186.72800016406.51999998
6.210000038146976.352000236511000000005 2011-11-216.48799991606.35200023
6.210000038146976.414000034332000000003 2011-11-226.35200023656.41400003
0000000000006.256.289999961853000000002 2011-11-236.35200023656.28999996
6.216000080108646.331999778747000000001 2011-11-256.30999994276.33199977
6.361999988555906.512000083923000000003 2011-11-286.40000009536.51200008
6.326000213623046.349999904632000000002 2011-11-296.49800014496.34999990
6.443999767303466.547999858856000000003 2011-11-300000000006.56.54799985
6.395999908447266.519999980926000000005 2011-12-016.51399993896.51999998
6.480000019073486.659999847412000000004 2011-12-026.56599998476.65999984
6.685999870300296.883999824523000000005 2011-12-056.70599985126.88399982
6.806000232696536.973999977111000000004 2011-12-066.84000015256.97399997
6.760000228881836.837999820709000000003 2011-12-076.92600011826.83799982
5.921999931335446.177999973297000000016 2011-12-086.16800022126.17799997
6.056000232696536.208000183105000000006 2011-12-096.10799980166.20800018
6.004000186920166.081999778747000000003 2011-12-126.08799982076.08199977
5.782000064849855.889999866485000000004 2011-12-136.11399984355.88999986
5.599999904632565.705999851226000000005 2011-12-145.90000009535.70599985
5.624000072479245.723999977111000000003 2011-12-155.73400020595.72399997
5.596000194549565.599999904632000000005 2011-12-165.75799989705.59999990
5.473999977111815.550000190734000000004 2011-12-195.61800003055.55000019
5.544000148773195.579999923706000000004 2011-12-205.61000013355.57999992
5.205999851226805.513999938964000000008 2011-12-215.58199977875.51399993
5.460000038146975.553999900817000000005 2011-12-225.51999998095.55399990
5.504000186920165.579999923706000000002 2011-12-235.59999990465.57999992
5.527999877929685.714000225067000000003 2011-12-275.53200006485.71400022
5.607999801635745.702000141143000000002 2011-12-285.79799985885.70200014
5.710000038146975.745999813079000000002 2011-12-295.71799993515.74599981
5.650000095367435.711999893188000000001 2011-12-305.69799995425.71199989
5.530000209808355.616000175476000000004 2012-01-035.78800010685.61600017
00000000000005.55.541999816894000000003 2012-01-045.64200019835.54199981
5.369999885559085.423999786376000000005 2012-01-055.55200004575.42399978
5.282000064849855.381999969482000000004 2012-01-065.44000005725.38199996
5.223999977111815.449999809265000000004 2012-01-095.40000009535.44999980
5.449999809265135.524000167846000000003 2012-01-105.48799991605.52400016
5.460000038146975.645999908447000000003 2012-01-115.52400016785.64599990
5.561999797821045.650000095367000000003 2012-01-125.69600009915.65000009
4.527999877929684.558000087738000000027 2012-01-135.67999982834.55800008
5.282000064849855.320000171661000000023 2012-01-175.32399988175.32000017
0000000000005.255.361999988555000000006 2012-01-185.33799982075.36199998
5.322000026702885.352000236511000000006 2012-01-195.43800020215.35200023
5.280000209808355.320000171661000000003 2012-01-205.38000011445.32000017
5.320000171661375.354000091552000000002 2012-01-235.36199998855.35400009
5.288000106811525.484000205993000000004 2012-01-245.32600021365.48400020
5.409999847412105.593999862670000000003 2012-01-255.45399999615.59399986
5.599999904632565.788000106811000000006 2012-01-265.61399984355.78800010
5.699999809265135.866000175476000000003 2012-01-275.69999980925.86600017
5.705999851226805.914000034332000000003 2012-01-305.89799976345.91400003
5.774000167846685.814000129699000000004 2012-01-315.98000001905.81400012
5.800000190734865.915999889373000000002 2012-02-015.81400012965.91599988
5.921999931335446.050000190734000000004 2012-02-025.94399976736.05000019
6.050000190734866.230000019073000000003 2012-02-036.08199977876.23000001
6.210000038146976.360000133514000000003 2012-02-066.21999979016.36000013
6.164000034332276.320000171661000000005 2012-02-076.36000013356.32000017
6.257999897003176.386000156402000000003 2012-02-086.32000017166.38600015
6.285999774932866.515999794006000000006 2012-02-096.40000009536.51599979
5.967999935150146.219999790191000000009 2012-02-106.45200014116.21999979
6.179999828338626.297999858856000000005 2012-02-136.30999994276.29799985
6.280000209808356.633999824523000000009 2012-02-146.34800004956.63399982
6.453999996185306.719999790191000000013 2012-02-156.61999988556.71999979
6.507999897003176.835999965667000000011 2012-02-166.69999980926.83599996
6.699999809265136.993999958038000000006 2012-02-176.79799985886.99399995
6.762000083923346.900000095367000000005 2012-02-216.97399997716.90000009
00000000000006.56.843999862670000000008 2012-02-226.90000009536.84399986
6.711999893188476.906000137329000000004 2012-02-236.79799985886.90600013
6.6539998054504300000000006.75000000004 2012-02-246.84600019450000006.75
6.599999904632566.723999977111000000003 2012-02-276.68200016026.72399997
6.633999824523926.762000083923000000003 2012-02-286.72800016406.76200008
6.627999782562256.682000160217000000002 2012-02-296.76200008396.68200016
6.662000179290776.881999969482000000003 2012-03-016.70200014116.88199996
6.742000102996826.808000087738000000002 2012-03-026.88000011446.80800008
6.691999912261966.754000186920000000002 2012-03-056.86999988556.75400018
6.524000167846686.622000217437000000002 2012-03-066.65000009536.62200021
6.581999778747556.624000072479000000001 2012-03-076.62400007246.62400007
6.607999801635746.613999843597000000003 2012-03-086.62200021746.61399984
6.639999866485596.947999954223000000007 2012-03-096.63999986646.94799995
6.920000076293947.202000141143000000009 2012-03-126.93800020217.20200014
7.099999904632567.217999935150000000005 2012-03-137.30200004577.21799993
6.960000038146977.058000087738000000004 2012-03-147.19999980927.05800008
6.9559998512268000000000000007000000002 2012-03-157.05600023260000000007
6.966000080108647.064000129699000000003 2012-03-166.98000001907.06400012
6.907999992370606.995999813079000000005 2012-03-197.05200004576.99599981
6.914000034332276.992000102996000000002 2012-03-206.99599981306.99200010
